Ticket ID,员工编号,部门,岗位等级,费用类型,金额,城市,城市等级,费用日期,出差开始日期,出差结束日期,商户,发票号码,票据状态,审批状态,预算编码,用途说明
EXP-202606-0001,E3001,产品部,L2,住宿,305.93,广州,一线,2026-06-19,2026-06-18,2026-06-20,城际酒店,INV-2026060001,完整,无需额外审批,PROD-RND,广州客户项目出差住宿
EXP-202606-0002,E1001,销售部,L2,住宿,289.5,杭州,二线,2026-06-23,2026-06-22,2026-06-25,汇景酒店,INV-2026060002,完整,无需额外审批,SALES-TRAVEL,杭州客户项目出差住宿
EXP-202606-0003,E4001,运营部,L1,客户招待,492.89,上海,一线,2026-06-21,2026-06-19,2026-06-22,江南餐厅,INV-2026060003,完整,无需额外审批,OPS-GENERAL,上海客户沟通工作餐
EXP-202606-0004,E1001,销售部,L2,交通,273.09,合肥,三线,2026-06-10,2026-06-09,2026-06-10,机场快线,INV-2026060004,完整,无需额外审批,SALES-TRAVEL,合肥出差交通
EXP-202606-0005,E4001,运营部,L1,交通,45.69,杭州,二线,2026-06-04,2026-06-03,2026-06-06,高铁票务,INV-2026060005,完整,无需额外审批,OPS-GENERAL,杭州出差交通
EXP-202606-0006,E2002,交付部,L3,交通,145.37,杭州,二线,2026-06-21,2026-06-20,2026-06-23,城市出行,INV-2026060006,完整,无需额外审批,DELIVERY-TRAVEL,杭州出差交通
EXP-202606-0007,E4002,运营部,L3,交通,236.69,上海,一线,2026-06-02,2026-06-01,2026-06-04,高铁票务,INV-2026060007,完整,无需额外审批,OPS-GENERAL,上海出差交通
EXP-202606-0008,E2001,交付部,L2,客户招待,471.59,广州,一线,2026-06-26,2026-06-24,2026-06-27,聚合餐饮,INV-2026060008,完整,无需额外审批,DELIVERY-TRAVEL,广州客户沟通工作餐
EXP-202606-0009,E4001,运营部,L1,办公采购,576.81,上海,一线,2026-06-12,2026-06-11,2026-06-12,晨光办公,INV-2026060009,完整,无需额外审批,OPS-GENERAL,项目办公用品采购
EXP-202606-0010,E3001,产品部,L2,客户招待,357.05,合肥,三线,2026-06-16,2026-06-16,2026-06-18,江南餐厅,INV-2026060010,完整,无需额外审批,PROD-RND,合肥客户沟通工作餐
EXP-202606-0011,E4002,运营部,L3,办公采购,823.09,武汉,二线,2026-06-16,2026-06-14,2026-06-16,企业采购中心,INV-2026060011,完整,无需额外审批,OPS-GENERAL,项目办公用品采购
EXP-202606-0012,E1001,销售部,L2,住宿,399.22,上海,一线,2026-06-06,2026-06-04,2026-06-06,汇景酒店,INV-2026060012,完整,无需额外审批,SALES-TRAVEL,上海客户项目出差住宿
EXP-202606-0013,E4002,运营部,L3,交通,158.05,广州,一线,2026-06-20,2026-06-17,2026-06-20,机场快线,INV-2026060013,完整,无需额外审批,OPS-GENERAL,广州出差交通
EXP-202606-0014,E1001,销售部,L2,交通,158.85,上海,一线,2026-06-10,2026-06-09,2026-06-11,机场快线,INV-2026060014,完整,无需额外审批,SALES-TRAVEL,上海出差交通
EXP-202606-0015,E3001,产品部,L2,客户招待,598.81,杭州,二线,2026-06-07,2026-06-06,2026-06-07,江南餐厅,INV-2026060015,完整,无需额外审批,PROD-RND,杭州客户沟通工作餐
EXP-202606-0016,E1001,销售部,L2,客户招待,811.48,上海,一线,2026-06-18,2026-06-16,2026-06-19,聚合餐饮,INV-2026060016,完整,无需额外审批,SALES-TRAVEL,上海客户沟通工作餐
EXP-202606-0017,E2001,交付部,L2,交通,218.61,武汉,二线,2026-06-20,2026-06-18,2026-06-20,高铁票务,INV-2026060017,完整,无需额外审批,DELIVERY-TRAVEL,武汉出差交通
EXP-202606-0018,E2002,交付部,L3,住宿,423.92,北京,一线,2026-06-23,2026-06-21,2026-06-24,汇景酒店,INV-2026060018,完整,无需额外审批,DELIVERY-TRAVEL,北京客户项目出差住宿
EXP-202606-0019,E1002,销售部,L3,客户招待,452.49,合肥,三线,2026-06-18,2026-06-16,2026-06-18,聚合餐饮,INV-2026060019,完整,无需额外审批,SALES-TRAVEL,合肥客户沟通工作餐
EXP-202606-0020,E1002,销售部,L3,交通,270.06,武汉,二线,2026-06-06,2026-06-05,2026-06-06,城市出行,INV-2026060020,完整,无需额外审批,SALES-TRAVEL,武汉出差交通
EXP-202606-0021,E2002,交付部,L3,办公采购,875.01,成都,二线,2026-06-24,2026-06-24,2026-06-27,企业采购中心,INV-2026060021,完整,无需额外审批,DELIVERY-TRAVEL,项目办公用品采购
EXP-202606-0022,E2002,交付部,L3,交通,229.42,杭州,二线,2026-06-06,2026-06-05,2026-06-06,高铁票务,INV-2026060022,完整,无需额外审批,DELIVERY-TRAVEL,杭州出差交通
EXP-202606-0023,E4001,运营部,L1,交通,222.31,合肥,三线,2026-06-11,2026-06-10,2026-06-13,机场快线,INV-2026060023,完整,无需额外审批,OPS-GENERAL,合肥出差交通
EXP-202606-0024,E1002,销售部,L3,住宿,543.72,武汉,二线,2026-06-16,2026-06-14,2026-06-16,云栖酒店,INV-2026060024,完整,无需额外审批,SALES-TRAVEL,武汉客户项目出差住宿
EXP-202606-0025,E4001,运营部,L1,住宿,268.15,合肥,三线,2026-06-07,2026-06-04,2026-06-07,云栖酒店,INV-2026060025,完整,无需额外审批,OPS-GENERAL,合肥客户项目出差住宿
EXP-202606-0026,E2002,交付部,L3,住宿,375.21,南昌,三线,2026-06-11,2026-06-08,2026-06-11,城际酒店,INV-2026060026,完整,无需额外审批,DELIVERY-TRAVEL,南昌客户项目出差住宿
EXP-202606-0027,E1002,销售部,L3,交通,46.66,南昌,三线,2026-06-04,2026-06-03,2026-06-05,机场快线,INV-2026060027,完整,无需额外审批,SALES-TRAVEL,南昌出差交通
EXP-202606-0028,E3001,产品部,L2,客户招待,516.18,合肥,三线,2026-06-07,2026-06-05,2026-06-07,聚合餐饮,INV-2026060028,完整,无需额外审批,PROD-RND,合肥客户沟通工作餐
EXP-202606-0029,E4001,运营部,L1,交通,131.51,合肥,三线,2026-06-13,2026-06-11,2026-06-14,高铁票务,INV-2026060029,完整,无需额外审批,OPS-GENERAL,合肥出差交通
EXP-202606-0030,E3001,产品部,L2,住宿,326.15,北京,一线,2026-06-14,2026-06-13,2026-06-14,汇景酒店,INV-2026060030,完整,无需额外审批,PROD-RND,北京客户项目出差住宿
EXP-202606-0031,E1002,销售部,L3,客户招待,766.51,北京,一线,2026-06-05,2026-06-03,2026-06-06,聚合餐饮,INV-2026060031,完整,无需额外审批,SALES-TRAVEL,北京客户沟通工作餐
EXP-202606-0032,E1001,销售部,L2,交通,234.0,广州,一线,2026-06-04,2026-06-04,2026-06-06,机场快线,INV-2026060032,完整,无需额外审批,SALES-TRAVEL,广州出差交通
EXP-202606-0033,E4001,运营部,L1,客户招待,593.24,杭州,二线,2026-06-07,2026-06-04,2026-06-07,江南餐厅,INV-2026060033,完整,无需额外审批,OPS-GENERAL,杭州客户沟通工作餐
EXP-202606-0034,E2001,交付部,L2,住宿,289.9,南昌,三线,2026-06-14,2026-06-14,2026-06-17,汇景酒店,INV-2026060034,完整,无需额外审批,DELIVERY-TRAVEL,南昌客户项目出差住宿
EXP-202606-0035,E3002,产品部,L4,住宿,522.53,合肥,三线,2026-06-04,2026-06-02,2026-06-05,汇景酒店,INV-2026060035,完整,无需额外审批,PROD-RND,合肥客户项目出差住宿
EXP-202606-0036,E1002,销售部,L3,住宿,519.43,广州,一线,2026-06-09,2026-06-08,2026-06-09,汇景酒店,INV-2026060036,完整,无需额外审批,SALES-TRAVEL,广州客户项目出差住宿
EXP-202606-0037,E3001,产品部,L2,办公采购,1469.07,成都,二线,2026-06-19,2026-06-16,2026-06-19,晨光办公,INV-2026060037,完整,无需额外审批,PROD-RND,项目办公用品采购
EXP-202606-0038,E2002,交付部,L3,办公采购,1160.95,合肥,三线,2026-06-17,2026-06-15,2026-06-18,企业采购中心,INV-2026060038,完整,无需额外审批,DELIVERY-TRAVEL,项目办公用品采购
EXP-202606-0039,E1001,销售部,L2,客户招待,682.0,北京,一线,2026-06-11,2026-06-11,2026-06-14,江南餐厅,INV-2026060039,完整,无需额外审批,SALES-TRAVEL,北京客户沟通工作餐
EXP-202606-0040,E2002,交付部,L3,客户招待,524.32,北京,一线,2026-06-19,2026-06-17,2026-06-19,聚合餐饮,INV-2026060040,完整,无需额外审批,DELIVERY-TRAVEL,北京客户沟通工作餐
EXP-202606-0041,E1001,销售部,L2,办公采购,154.41,杭州,二线,2026-06-20,2026-06-19,2026-06-20,企业采购中心,INV-2026060041,完整,无需额外审批,SALES-TRAVEL,项目办公用品采购
EXP-202606-0042,E1001,销售部,L2,交通,252.55,合肥,三线,2026-06-16,2026-06-14,2026-06-16,高铁票务,INV-2026060042,完整,无需额外审批,SALES-TRAVEL,合肥出差交通
EXP-202606-0043,E2001,交付部,L2,住宿,294.27,上海,一线,2026-06-15,2026-06-15,2026-06-16,云栖酒店,INV-2026060043,完整,无需额外审批,DELIVERY-TRAVEL,上海客户项目出差住宿
EXP-202606-0044,E1002,销售部,L3,客户招待,561.41,武汉,二线,2026-06-05,2026-06-03,2026-06-06,江南餐厅,INV-2026060044,完整,无需额外审批,SALES-TRAVEL,武汉客户沟通工作餐
EXP-202606-0045,E2001,交付部,L2,客户招待,873.58,北京,一线,2026-06-10,2026-06-10,2026-06-11,和悦会馆,INV-2026060045,完整,无需额外审批,DELIVERY-TRAVEL,北京客户沟通工作餐
EXP-202606-0046,E4002,运营部,L3,办公采购,387.35,北京,一线,2026-06-22,2026-06-21,2026-06-22,数码供应站,INV-2026060046,完整,无需额外审批,OPS-GENERAL,项目办公用品采购
EXP-202606-0047,E1001,销售部,L2,住宿,444.12,广州,一线,2026-06-17,2026-06-17,2026-06-19,云栖酒店,INV-2026060047,完整,无需额外审批,SALES-TRAVEL,广州客户项目出差住宿
EXP-202606-0048,E1001,销售部,L2,客户招待,717.39,武汉,二线,2026-06-04,2026-06-03,2026-06-06,聚合餐饮,INV-2026060048,完整,无需额外审批,SALES-TRAVEL,武汉客户沟通工作餐
EXP-202606-0049,E4002,运营部,L3,交通,109.92,合肥,三线,2026-06-04,2026-06-03,2026-06-06,机场快线,INV-2026060049,完整,无需额外审批,OPS-GENERAL,合肥出差交通
EXP-202606-0050,E4002,运营部,L3,办公采购,669.44,广州,一线,2026-06-20,2026-06-20,2026-06-22,企业采购中心,INV-2026060050,完整,无需额外审批,OPS-GENERAL,项目办公用品采购
EXP-202606-0051,E2001,交付部,L2,住宿,388.88,广州,一线,2026-06-08,2026-06-05,2026-06-08,云栖酒店,INV-2026060051,完整,无需额外审批,DELIVERY-TRAVEL,广州客户项目出差住宿
EXP-202606-0052,E4002,运营部,L3,客户招待,895.82,武汉,二线,2026-06-17,2026-06-16,2026-06-19,江南餐厅,INV-2026060052,完整,无需额外审批,OPS-GENERAL,武汉客户沟通工作餐
EXP-202606-0053,E2001,交付部,L2,交通,266.19,武汉,二线,2026-06-20,2026-06-19,2026-06-21,机场快线,INV-2026060053,完整,无需额外审批,DELIVERY-TRAVEL,武汉出差交通
EXP-202606-0054,E4002,运营部,L3,住宿,343.1,南昌,三线,2026-06-15,2026-06-13,2026-06-16,云栖酒店,INV-2026060054,完整,无需额外审批,OPS-GENERAL,南昌客户项目出差住宿
EXP-202606-0055,E3001,产品部,L2,客户招待,491.89,广州,一线,2026-06-01,2026-06-01,2026-06-04,江南餐厅,INV-2026060055,完整,无需额外审批,PROD-RND,广州客户沟通工作餐
EXP-202606-0056,E2001,交付部,L2,住宿,295.97,杭州,二线,2026-06-08,2026-06-06,2026-06-08,云栖酒店,INV-2026060056,完整,无需额外审批,DELIVERY-TRAVEL,杭州客户项目出差住宿
EXP-202606-0057,E1002,销售部,L3,办公采购,1070.28,成都,二线,2026-06-12,2026-06-12,2026-06-14,晨光办公,INV-2026060057,完整,无需额外审批,SALES-TRAVEL,项目办公用品采购
EXP-202606-0058,E4002,运营部,L3,交通,202.17,上海,一线,2026-06-16,2026-06-16,2026-06-18,机场快线,INV-2026060058,完整,无需额外审批,OPS-GENERAL,上海出差交通
EXP-202606-0059,E3001,产品部,L2,办公采购,329.12,南昌,三线,2026-06-10,2026-06-10,2026-06-12,晨光办公,INV-2026060059,完整,无需额外审批,PROD-RND,项目办公用品采购
EXP-202606-0060,E3001,产品部,L2,交通,68.62,北京,一线,2026-06-16,2026-06-15,2026-06-16,城市出行,INV-2026060060,完整,无需额外审批,PROD-RND,北京出差交通
EXP-202606-0061,E1002,销售部,L3,办公采购,1145.47,合肥,三线,2026-06-05,2026-06-04,2026-06-05,晨光办公,,缺失,无需额外审批,SALES-TRAVEL,项目办公用品采购
EXP-202606-0062,E3001,产品部,L2,住宿,680,广州,一线,2026-06-18,2026-06-17,2026-06-19,和悦会馆,INV-2026060062,完整,无需额外审批,PROD-RND,广州客户项目出差住宿
EXP-202606-0063,E1001,销售部,L2,办公采购,1511.71,武汉,二线,2026-06-28,2026-06-22,2026-06-24,数码供应站,INV-2026060063,完整,无需额外审批,SALES-TRAVEL,项目办公用品采购
EXP-202606-0064,E4001,运营部,L1,客户招待,1680,合肥,三线,2026-06-13,2026-06-13,2026-06-15,城际酒店,INV-2026060064,完整,未提交,OPS-GENERAL,客户项目阶段性沟通工作餐
EXP-202606-0065,E2001,交付部,L2,住宿,270.7,成都,二线,2026-06-05,2026-06-05,2026-06-08,云栖酒店,INV-2026060065,完整,无需额外审批,UNKNOWN-001,成都客户项目出差住宿
EXP-202606-0066,E3002,产品部,L4,交通,89.77,合肥,三线,2026-06-08,2026-06-06,2026-06-08,城市出行,INV-2026060001,完整,无需额外审批,PROD-RND,合肥出差交通
EXP-202606-0067,E4002,运营部,L3,办公采购,154.4,上海,一线,2026-06-23,2026-06-23,2026-06-24,江南餐厅,INV-2026060067,完整,无需额外审批,OPS-GENERAL,客户项目阶段性沟通晚餐
EXP-202606-0068,E4002,运营部,L3,办公采购,1456.86,北京,三线,2026-06-23,2026-06-23,2026-06-24,晨光办公,INV-2026060068,完整,无需额外审批,OPS-GENERAL,项目办公用品采购
EXP-202606-0069,E4002,运营部,L3,交通,79.97,合肥,三线,2026-06-24,2026-06-24,2026-06-25,高铁票务,,缺失,无需额外审批,OPS-GENERAL,合肥出差交通
EXP-202606-0070,E3002,产品部,L4,住宿,980,杭州,二线,2026-06-06,2026-06-06,2026-06-08,和悦会馆,INV-2026060070,完整,无需额外审批,PROD-RND,杭州客户项目出差住宿
EXP-202606-0071,E3001,产品部,L2,住宿,371.07,上海,一线,2026-06-18,2026-06-11,2026-06-14,城际酒店,INV-2026060071,完整,无需额外审批,PROD-RND,上海客户项目出差住宿
EXP-202606-0072,E4001,运营部,L1,客户招待,1680,南昌,三线,2026-06-12,2026-06-09,2026-06-12,机场快线,INV-2026060072,完整,未提交,OPS-GENERAL,客户项目阶段性沟通工作餐
EXP-202606-0073,E1002,销售部,L3,住宿,355.93,成都,二线,2026-06-03,2026-06-02,2026-06-03,汇景酒店,INV-2026060073,完整,无需额外审批,UNKNOWN-001,成都客户项目出差住宿
EXP-202606-0074,E3001,产品部,L2,客户招待,697.77,北京,一线,2026-06-25,2026-06-22,2026-06-25,聚合餐饮,INV-2026060001,完整,无需额外审批,PROD-RND,北京客户沟通工作餐
EXP-202606-0075,E2001,交付部,L2,办公采购,261.11,北京,一线,2026-06-10,2026-06-10,2026-06-12,江南餐厅,INV-2026060075,完整,无需额外审批,DELIVERY-TRAVEL,客户项目阶段性沟通晚餐
EXP-202606-0076,E2002,交付部,L3,客户招待,354.12,北京,三线,2026-06-23,2026-06-23,2026-06-25,江南餐厅,INV-2026060076,完整,无需额外审批,DELIVERY-TRAVEL,成都客户沟通工作餐
EXP-202606-0077,E2001,交付部,L2,交通,116.56,武汉,二线,2026-06-23,2026-06-22,2026-06-23,机场快线,,缺失,无需额外审批,DELIVERY-TRAVEL,武汉出差交通
EXP-202606-0078,E3001,产品部,L2,住宿,580,成都,二线,2026-06-05,2026-06-05,2026-06-06,城市出行,INV-2026060078,完整,无需额外审批,PROD-RND,成都客户项目出差住宿
EXP-202606-0079,E1001,销售部,L2,客户招待,390.7,成都,二线,2026-06-10,2026-06-03,2026-06-06,和悦会馆,INV-2026060079,完整,无需额外审批,SALES-TRAVEL,成都客户沟通工作餐
EXP-202606-0080,E4002,运营部,L3,客户招待,1680,北京,一线,2026-06-16,2026-06-16,2026-06-17,数码供应站,INV-2026060080,完整,未提交,OPS-GENERAL,客户项目阶段性沟通工作餐
EXP-202606-0081,E2001,交付部,L2,交通,124.9,上海,一线,2026-06-11,2026-06-11,2026-06-14,高铁票务,INV-2026060081,完整,无需额外审批,UNKNOWN-001,上海出差交通
EXP-202606-0082,E1002,销售部,L3,客户招待,655.0,广州,一线,2026-06-01,2026-06-01,2026-06-02,聚合餐饮,INV-2026060001,完整,无需额外审批,SALES-TRAVEL,广州客户沟通工作餐
EXP-202606-0083,E3001,产品部,L2,办公采购,1521.42,南昌,三线,2026-06-07,2026-06-07,2026-06-09,江南餐厅,INV-2026060083,完整,无需额外审批,PROD-RND,客户项目阶段性沟通晚餐
EXP-202606-0084,E3002,产品部,L4,客户招待,386.46,北京,三线,2026-06-12,2026-06-12,2026-06-14,聚合餐饮,INV-2026060084,完整,无需额外审批,PROD-RND,杭州客户沟通工作餐
EXP-202606-0085,E2002,交付部,L3,住宿,612.25,北京,一线,2026-06-18,2026-06-17,2026-06-18,云栖酒店,,缺失,无需额外审批,DELIVERY-TRAVEL,北京客户项目出差住宿
EXP-202606-0086,E3001,产品部,L2,住宿,680,广州,一线,2026-06-18,2026-06-18,2026-06-19,高铁票务,INV-2026060086,完整,无需额外审批,PROD-RND,广州客户项目出差住宿
EXP-202606-0087,E4002,运营部,L3,住宿,358.52,合肥,三线,2026-06-28,2026-06-23,2026-06-24,云栖酒店,INV-2026060087,完整,无需额外审批,OPS-GENERAL,合肥客户项目出差住宿
EXP-202606-0088,E3002,产品部,L4,客户招待,1680,杭州,二线,2026-06-02,2026-06-01,2026-06-02,晨光办公,INV-2026060088,完整,未提交,PROD-RND,客户项目阶段性沟通工作餐
EXP-202606-0089,E4002,运营部,L3,办公采购,245.44,杭州,二线,2026-06-07,2026-06-07,2026-06-09,数码供应站,INV-2026060089,完整,无需额外审批,UNKNOWN-001,项目办公用品采购
EXP-202606-0090,E4002,运营部,L3,办公采购,1015.02,杭州,二线,2026-06-09,2026-06-09,2026-06-10,企业采购中心,INV-2026060001,完整,无需额外审批,OPS-GENERAL,项目办公用品采购
EXP-202606-0091,E3001,产品部,L2,办公采购,608.44,上海,一线,2026-06-26,2026-06-24,2026-06-27,江南餐厅,INV-2026060091,完整,无需额外审批,PROD-RND,客户项目阶段性沟通晚餐
EXP-202606-0092,E4002,运营部,L3,客户招待,446.6,北京,三线,2026-06-04,2026-06-04,2026-06-05,聚合餐饮,INV-2026060092,完整,无需额外审批,OPS-GENERAL,武汉客户沟通工作餐
EXP-202606-0093,E4001,运营部,L1,交通,145.1,成都,二线,2026-06-20,2026-06-18,2026-06-20,城市出行,,缺失,无需额外审批,OPS-GENERAL,成都出差交通
EXP-202606-0094,E3001,产品部,L2,住宿,680,上海,一线,2026-06-05,2026-06-04,2026-06-07,企业采购中心,INV-2026060094,完整,无需额外审批,PROD-RND,上海客户项目出差住宿
EXP-202606-0095,E4002,运营部,L3,住宿,557.02,上海,一线,2026-06-16,2026-06-10,2026-06-12,云栖酒店,INV-2026060095,完整,无需额外审批,OPS-GENERAL,上海客户项目出差住宿
EXP-202606-0096,E1002,销售部,L3,客户招待,1680,广州,一线,2026-06-02,2026-06-01,2026-06-02,数码供应站,INV-2026060096,完整,未提交,SALES-TRAVEL,客户项目阶段性沟通工作餐
EXP-202606-0097,E2002,交付部,L3,交通,139.95,成都,二线,2026-06-23,2026-06-22,2026-06-25,高铁票务,INV-2026060097,完整,无需额外审批,UNKNOWN-001,成都出差交通
EXP-202606-0098,E4001,运营部,L1,办公采购,957.24,成都,二线,2026-06-07,2026-06-07,2026-06-08,晨光办公,INV-2026060001,完整,无需额外审批,OPS-GENERAL,项目办公用品采购
EXP-202606-0099,E1001,销售部,L2,办公采购,1328.91,广州,一线,2026-06-08,2026-06-08,2026-06-09,江南餐厅,INV-2026060099,完整,无需额外审批,SALES-TRAVEL,客户项目阶段性沟通晚餐
EXP-202606-0100,E4002,运营部,L3,客户招待,746.68,北京,三线,2026-06-03,2026-06-02,2026-06-04,和悦会馆,INV-2026060100,完整,无需额外审批,OPS-GENERAL,广州客户沟通工作餐
EXP-202606-0101,E2001,交付部,L2,住宿,352.1,北京,一线,2026-06-18,2026-06-18,2026-06-20,云栖酒店,,缺失,无需额外审批,DELIVERY-TRAVEL,北京客户项目出差住宿
EXP-202606-0102,E1002,销售部,L3,住宿,680,合肥,三线,2026-06-16,2026-06-15,2026-06-17,晨光办公,INV-2026060102,完整,无需额外审批,SALES-TRAVEL,合肥客户项目出差住宿
EXP-202606-0103,E4001,运营部,L1,住宿,457.87,北京,一线,2026-06-11,2026-06-04,2026-06-07,云栖酒店,INV-2026060103,完整,无需额外审批,OPS-GENERAL,北京客户项目出差住宿
EXP-202606-0104,E2002,交付部,L3,客户招待,1680,南昌,三线,2026-06-18,2026-06-16,2026-06-19,机场快线,INV-2026060104,完整,未提交,DELIVERY-TRAVEL,客户项目阶段性沟通工作餐
