任务ID,图片类型,画布比例,投放日期,活动名称,活动价,活动开始日期,活动结束日期,主文案,补充要求
MKT-001,电商主图,1:1,2026-07-25,日常商品展示,129,2026-07-25,2026-08-31,城市轻装 随时出发,白底展示产品主体
MKT-002,电商主图,1:1,2026-07-27,夏日出行周,99,2026-07-25,2026-07-31,夏日出行 轻装随行,突出活动价和500ml容量
MKT-003,促销海报,3:4,2026-07-28,夏日出行周,99,2026-07-25,2026-07-31,轻量随行 限时优惠,保留底部活动说明区域
MKT-004,电商主图,1:1,2026-07-30,会员专享日,109,2026-07-29,2026-07-31,会员专享 城市随行,突出会员活动信息
MKT-005,促销海报,3:4,2026-07-31,结营限时购,89,2026-07-30,2026-07-31,限时好价 轻装出发,突出活动截止日期
MKT-006,电商主图,1:1,2026-07-29,夏日出行周,,2026-07-25,2026-07-31,夏日出行 轻装随行,突出活动价格
MKT-007,促销海报,3:4,2026-08-02,夏日出行周,99,2026-07-25,2026-07-31,夏日出行 轻装随行,用于周末社交平台投放
MKT-008,电商主图,1:1,2026-07-30,限时秒杀,69,2026-07-30,2026-07-31,限时秒杀 仅此两天,价格字号需要明显
MKT-009,促销海报,3:4,2026-07-30,夏日出行周,99,2026-07-25,2026-07-31,全网第一的城市保温杯,突出品质感和活动价
MKT-010,横版Banner,16:9,2026-07-30,夏日出行周,99,2026-07-25,2026-07-31,夏日出行 轻装随行,把杯身改成红色以匹配促销氛围
